client,fedavg_acc,gt_fedavg_acc
1,0.10378378629684448,0.7729730010032654
2,0.10378378629684448,0.7870270013809204
3,0.8380434513092041,0.8393478393554688
1,0.10621621459722519,0.7827026844024658
2,0.10621621459722519,0.7832432389259338
3,0.8452174067497253,0.8452174067497253
1,0.10621621459722519,0.7845945954322815
2,0.10621621459722519,0.7840540409088135
3,0.8443478345870972,0.8447825908660889
1,0.10459459573030472,0.7781081199645996
2,0.10459459573030472,0.7843243479728699
3,0.8408695459365845,0.8439130187034607
