client,fedavg_acc,gt_fedavg_acc
1,0.0714285746216774,0.6989285945892334
2,0.0714285746216774,0.6396428346633911
3,0.7139285802841187,0.7139285802841187
4,0.0714285746216774,0.7135714292526245
5,0.0714285746216774,0.7124999761581421
1,0.0714285746216774,0.6964285969734192
2,0.0714285746216774,0.6889285445213318
3,0.7107142806053162,0.7107142806053162
4,0.0714285746216774,0.7142857313156128
5,0.0714285746216774,0.7124999761581421
1,0.0714285746216774,0.7028571367263794
2,0.0714285746216774,0.6924999952316284
3,0.7139285802841187,0.7139285802841187
4,0.0714285746216774,0.7142857313156128
5,0.0714285746216774,0.7121428847312927
1,0.0714285746216774,0.6907142996788025
2,0.0714285746216774,0.6935714483261108
3,0.7139285802841187,0.7139285802841187
4,0.0714285746216774,0.7142857313156128
5,0.0714285746216774,0.7117857336997986
1,0.0714285746216774,0.7010714411735535
2,0.0714285746216774,0.6892856955528259
3,0.7121428847312927,0.7128571271896362
4,0.0714285746216774,0.7142857313156128
5,0.0714285746216774,0.7121428847312927
1,0.1111111119389534,0.5486111044883728
2,0.1111111119389534,0.5366666913032532
3,0.5552777647972107,0.5552777647972107
4,0.1111111119389534,0.5555555820465088
5,0.1111111119389534,0.5536110997200012
1,0.1111111119389534,0.5308333039283752
2,0.1111111119389534,0.5336111187934875
3,0.5552777647972107,0.5552777647972107
4,0.1111111119389534,0.5555555820465088
5,0.1111111119389534,0.5488888621330261
1,0.11083333194255829,0.5497221946716309
2,0.11083333194255829,0.48027777671813965
3,0.5550000071525574,0.5536110997200012
4,0.11083333194255829,0.5486111044883728
5,0.11083333194255829,0.5536110997200012
1,0.1111111119389534,0.5483333468437195
2,0.1111111119389534,0.5377777814865112
3,0.5555555820465088,0.5550000071525574
4,0.1111111119389534,0.5555555820465088
5,0.1111111119389534,0.5538889169692993
