client,fedavg_acc,gt_fedavg_acc
1,0.06443832069635391,0.7284631133079529
2,0.06593794375658035,0.7161495089530945
3,0.6972066760063171,0.6968342661857605
4,0.06712131947278976,0.708183765411377
5,0.06719367951154709,0.7053539156913757
1,0.06374914199113846,0.7281185388565063
2,0.06523272395133972,0.7126234173774719
3,0.6945996284484863,0.6837989091873169
4,0.06640344858169556,0.7103374004364014
5,0.0664750263094902,0.7042759656906128
1,0.06443832069635391,0.7274293303489685
2,0.06593794375658035,0.7129760384559631
3,0.6972066760063171,0.6960893869400024
4,0.06712131947278976,0.7114142179489136
5,0.06719367951154709,0.7085878252983093
1,0.06443832069635391,0.7284631133079529
2,0.06593794375658035,0.7129760384559631
3,0.6975791454315186,0.6972066760063171
4,0.06712131947278976,0.7121320962905884
5,0.06719367951154709,0.7067912220954895
1,0.06443832069635391,0.7277739644050598
2,0.06593794375658035,0.7105077505111694
3,0.6968342661857605,0.6927374005317688
4,0.06712131947278976,0.7085427045822144
5,0.06719367951154709,0.7082285284996033
