client,fedavg_acc,gt_fedavg_acc
1,0.06443832069635391,0.7284631133079529
2,0.06593794375658035,0.7161495089530945
3,0.6972066760063171,0.6968342661857605
4,0.06712131947278976,0.708183765411377
5,0.06719367951154709,0.7053539156913757
1,0.06374914199113846,0.7281185388565063
2,0.06523272395133972,0.7126234173774719
3,0.6945996284484863,0.6837989091873169
4,0.06640344858169556,0.7103374004364014
5,0.0664750263094902,0.7042759656906128
1,0.06443832069635391,0.7274293303489685
2,0.06593794375658035,0.7129760384559631
3,0.6972066760063171,0.6960893869400024
4,0.06712131947278976,0.7114142179489136
5,0.06719367951154709,0.7085878252983093
1,0.06443832069635391,0.7284631133079529
2,0.06593794375658035,0.7129760384559631
3,0.6975791454315186,0.6972066760063171
4,0.06712131947278976,0.7121320962905884
5,0.06719367951154709,0.7067912220954895
1,0.06443832069635391,0.7277739644050598
2,0.06593794375658035,0.7105077505111694
3,0.6968342661857605,0.6927374005317688
4,0.06712131947278976,0.7085427045822144
5,0.06719367951154709,0.7082285284996033
1,0.10027100145816803,0.5726287364959717
2,0.10187224298715591,0.5567180514335632
3,0.5331618189811707,0.5100057125091553
4,0.10315026342868805,0.5505993962287903
5,0.10320781171321869,0.548396110534668
1,0.10027100145816803,0.5728996992111206
2,0.10187224298715591,0.4694383144378662
3,0.529731273651123,0.48799315094947815
4,0.10315026342868805,0.5447449088096619
5,0.10320781171321869,0.49093446135520935
1,0.10108400881290436,0.5728996992111206
2,0.10269823670387268,0.558920681476593
3,0.5348770618438721,0.529731273651123
4,0.10398662090301514,0.5469751954078674
5,0.10404463112354279,0.548396110534668
1,0.10054200887680054,0.5720866918563843
2,0.10214757919311523,0.5115638971328735
3,0.5325900316238403,0.3527730107307434
4,0.10342904925346375,0.5528296828269958
5,0.10348675400018692,0.540027916431427
1,0.10108400881290436,0.5728996992111206
2,0.10269823670387268,0.5506607890129089
3,0.5343053340911865,0.5337335467338562
4,0.10398662090301514,0.5533872246742249
5,0.10404463112354279,0.49707111716270447
